#! res.bias res.work
860.000000 27.255104 0.000220
862.500000 27.168386 0.000365
865.000000 28.048536 0.000278
867.500000 29.523967 0.001311
870.000000 27.923599 0.000175
872.500000 30.382055 0.000153
875.000000 31.596757 0.000262
877.500000 30.222183 0.000167
880.000000 29.493978 0.000325
882.500000 29.466901 0.000321
885.000000 31.250649 0.000353
887.500000 31.441197 0.000478
890.000000 29.038494 0.000263
892.500000 27.207470 0.001138
895.000000 30.566914 0.000294
897.500000 31.641684 0.000694
900.000000 31.807991 0.000219
902.500000 34.646452 0.000431
905.000000 33.762027 0.000779
907.500000 33.671500 0.000417
910.000000 33.529334 0.000301
912.500000 35.316636 0.000829
915.000000 33.979490 0.000691
917.500000 33.049375 0.000291
920.000000 34.699227 0.000502
922.500000 35.949138 0.000495
925.000000 35.067157 0.000291
927.500000 37.469772 0.000314
930.000000 38.354763 0.000372
932.500000 37.613358 0.000251
935.000000 36.733381 0.000574
937.500000 36.745960 0.000387
940.000000 36.168809 0.000446
942.500000 34.971863 0.000167
945.000000 35.501604 0.000146
947.500000 36.462241 0.000316
950.000000 35.113434 0.000220
952.500000 41.038419 0.001294
955.000000 38.645357 0.000561
957.500000 37.675035 0.001151
960.000000 43.328675 0.001021
962.500000 41.887411 0.000503
965.000000 41.476709 0.000552
967.500000 41.869237 0.000661
970.000000 42.564929 0.001246
972.500000 40.132038 0.001769
975.000000 42.272915 0.004401
977.500000 42.474832 0.002143
980.000000 39.275834 0.000603
982.500000 41.883193 0.001083
985.000000 36.756722 0.000614
987.500000 36.115001 0.001060
990.000000 38.554594 0.000663
992.500000 34.278413 0.000405
995.000000 34.728475 0.000244
997.500000 38.131506 0.000398
1000.000000 37.111639 0.000237
1002.500000 41.100565 0.000347
1005.000000 43.517117 0.000356
1007.500000 44.570138 0.000411
1010.000000 41.337552 0.001013
1012.500000 42.110907 0.001021
1015.000000 46.055695 0.000352
1017.500000 47.571752 0.000591
1020.000000 51.087425 0.000381
1022.500000 50.638368 0.000657
1025.000000 48.647425 0.001063
1027.500000 48.903348 0.000313
1030.000000 47.455553 0.001380
1032.500000 46.839490 0.000866
1035.000000 45.814765 0.001398
1037.500000 47.469350 0.000442
1040.000000 46.314576 0.000472
1042.500000 47.109064 0.001451
1045.000000 45.981858 0.000623
1047.500000 45.369254 0.000315
1050.000000 47.281956 0.000825
1052.500000 48.100012 0.001018
1055.000000 47.107479 0.009037
1057.500000 48.205231 0.002773
1060.000000 50.138377 0.000492
1062.500000 46.092138 0.000113
1065.000000 47.900888 0.000130
1067.500000 52.580306 0.000396
1070.000000 50.700236 0.006333
1072.500000 45.821905 0.001168
1075.000000 45.038441 0.000209
1077.500000 43.755126 0.000213
1080.000000 45.828345 0.000301
1082.500000 48.694700 0.000478
1085.000000 47.538917 0.000315
1087.500000 48.445150 0.000982
1090.000000 47.651572 0.000216
1092.500000 46.917983 0.000217
1095.000000 46.190607 0.000336
1097.500000 49.247283 0.000508
1100.000000 55.240476 0.000459
1102.500000 54.729842 0.000126
1105.000000 52.399762 0.000294
1107.500000 51.836053 0.000241
1110.000000 52.012204 0.000810
1112.500000 55.496743 0.002886
1115.000000 56.416265 0.002011
1117.500000 64.528779 0.002647
1120.000000 67.604595 0.002401
1122.500000 64.819672 0.000447
1125.000000 64.584532 0.000413
1127.500000 64.917365 0.001806
1130.000000 64.646358 0.001324
1132.500000 62.292949 0.000659
1135.000000 63.769071 0.000542
1137.500000 62.732143 0.001341
1140.000000 60.324196 0.000252
1142.500000 58.529138 0.000670
1145.000000 56.572164 0.000401
1147.500000 61.304206 0.000158
1150.000000 65.337596 0.000101
1152.500000 70.475010 0.000092
1155.000000 66.513151 0.000843
1157.500000 67.941240 0.000745
1160.000000 71.547247 0.000945
1162.500000 68.640876 0.000990
1165.000000 71.747901 0.000137
1167.500000 73.919054 0.000390
1170.000000 74.465317 0.002594
1172.500000 73.593812 0.002935
1175.000000 72.948914 0.004697
1177.500000 78.381765 0.001396
1180.000000 77.467318 0.000589
1182.500000 74.664900 0.002311
1185.000000 78.401364 0.000330
1187.500000 79.341490 0.001646
1190.000000 80.175959 0.000410
1192.500000 82.330934 0.000268
1195.000000 87.349074 0.000597
1197.500000 87.852783 0.000637
1200.000000 91.010114 0.000065
1202.500000 91.270196 0.000290
1205.000000 90.605643 0.000085
1207.500000 91.620778 0.001026
1210.000000 91.759534 0.000388
1212.500000 90.673310 0.000433
1215.000000 89.709036 0.000586
1217.500000 89.338409 0.000361
1220.000000 92.467031 0.000367
1222.500000 90.629543 0.000093
1225.000000 92.468624 0.000145
1227.500000 90.345117 0.000218
1230.000000 88.984463 0.000109
1232.500000 87.005858 0.000609
1235.000000 87.833985 0.000853
1237.500000 89.549960 0.000906
1240.000000 87.948458 0.000775
1242.500000 89.674427 0.000056
1245.000000 97.296318 0.000103
1247.500000 99.067074 0.000405
1250.000000 97.622000 0.000882
1252.500000 100.540137 0.004190
1255.000000 99.786205 0.001899
1257.500000 98.436704 0.009387
1260.000000 97.255761 0.007614
1262.500000 98.145011 0.003965
1265.000000 99.068096 0.001051
1267.500000 99.141199 0.000981
1270.000000 97.521338 0.001093
1272.500000 99.341944 0.000929
1275.000000 98.222509 0.001190
1277.500000 96.159471 0.001457
1280.000000 101.214437 0.000731
1282.500000 100.681822 0.000158
1285.000000 102.726944 0.000103
1287.500000 105.445661 0.000222
1290.000000 102.948724 0.000241
1292.500000 103.268259 0.000120
1295.000000 106.588650 0.000235
1297.500000 109.451205 0.000176
1300.000000 112.170026 0.000327
1302.500000 114.169472 0.001587
1305.000000 110.785820 0.000754
1307.500000 105.748098 0.000284
1310.000000 104.809098 0.000377
1312.500000 100.836358 0.000101
1315.000000 103.717797 0.000071
1317.500000 99.372469 0.000355
1320.000000 100.873760 0.000740
1322.500000 103.902077 0.000584
1325.000000 108.863971 0.002672
1327.500000 114.348582 0.001113
1330.000000 114.058168 0.002000
1332.500000 111.906744 0.004342
1335.000000 108.304810 0.000779
1337.500000 103.230237 0.000505
1340.000000 103.221818 0.000242
1342.500000 103.828600 0.000563
1345.000000 106.258021 0.000584
1347.500000 105.913789 0.000951
1350.000000 103.917034 0.000393
1352.500000 100.033510 0.000105
1355.000000 101.399976 0.000900
1357.500000 101.529866 0.000277
1360.000000 101.712282 0.000906
1362.500000 105.811341 0.003855
1365.000000 107.209377 0.000750
1367.500000 108.538613 0.000301
1370.000000 106.410973 0.001023
1372.500000 106.483964 0.001014
1375.000000 103.298451 0.001475
1377.500000 105.278421 0.002769
1380.000000 111.978905 0.002513
1382.500000 116.264526 0.000319
1385.000000 112.206974 0.000290
1387.500000 115.292831 0.003600
1390.000000 114.086704 0.002371
1392.500000 108.772828 0.000205
1395.000000 107.956798 0.000850
1397.500000 110.464024 0.001379
1400.000000 111.194457 0.000385
1402.500000 110.517438 0.001407
1405.000000 108.186770 0.000804
1407.500000 107.338236 0.001673
1410.000000 110.009969 0.001362
1412.500000 109.768208 0.000159
1415.000000 110.179087 0.000587
1417.500000 110.439626 0.000402
1420.000000 112.298483 0.000929
1422.500000 109.281010 0.000611
1425.000000 102.579281 0.000301
1427.500000 103.120696 0.000149
1430.000000 103.711610 0.000183
1432.500000 103.741855 0.000370
1435.000000 100.070239 0.000265
1437.500000 102.904561 0.000754
1440.000000 106.812342 0.000551
1442.500000 108.469726 0.000363
1445.000000 106.752229 0.000405
1447.500000 107.018130 0.001706
1450.000000 109.854833 0.000135
1452.500000 114.274230 0.000201
1455.000000 110.510234 0.000466
1457.500000 112.217788 0.003709
1460.000000 109.614730 0.000376
1462.500000 108.280016 0.000185
1465.000000 105.912266 0.000567
1467.500000 107.051192 0.000776
1470.000000 108.259276 0.000944
1472.500000 109.785884 0.001435
1475.000000 111.245232 0.001426
1477.500000 110.908916 0.000258
1480.000000 111.788231 0.000082
1482.500000 115.029540 0.000088
1485.000000 112.773495 0.000045
1487.500000 110.596669 0.000344
1490.000000 107.661102 0.000305
1492.500000 109.810582 0.000604
1495.000000 114.477555 0.000293
1497.500000 118.709856 0.000339
1500.000000 118.159572 0.000135
1502.500000 120.824352 0.000308
1505.000000 115.560279 0.000265
1507.500000 116.576658 0.000280
1510.000000 116.552485 0.000304
1512.500000 118.314296 0.000632
1515.000000 119.681576 0.000886
1517.500000 122.488883 0.000524
1520.000000 119.643213 0.000999
1522.500000 117.504675 0.000344
1525.000000 117.592759 0.001451
1527.500000 118.173831 0.000796
1530.000000 118.658152 0.000437
1532.500000 120.903749 0.000293
1535.000000 121.204899 0.000223
1537.500000 121.746459 0.000230
1540.000000 123.215975 0.000165
1542.500000 120.044461 0.000941
1545.000000 113.273227 0.000349
1547.500000 116.297014 0.000155
1550.000000 117.725589 0.000250
1552.500000 120.939826 0.000415
1555.000000 125.351066 0.000195
1557.500000 125.974317 0.000658
1560.000000 128.212774 0.003091
1562.500000 125.630695 0.003666
1565.000000 123.904493 0.001669
1567.500000 122.987788 0.001611
1570.000000 122.205989 0.001767
1572.500000 122.969692 0.000235
1575.000000 125.048270 0.001023
1577.500000 127.521939 0.000136
1580.000000 127.151092 0.000254
1582.500000 126.801293 0.000407
1585.000000 131.421260 0.000495
1587.500000 130.593455 0.000241
1590.000000 130.197433 0.002447
1592.500000 134.277342 0.000843
1595.000000 137.253620 0.000369
1597.500000 140.637392 0.000636
1600.000000 139.826339 0.000562
